RTT,Processing-Delay,Network_Delay,Server-to-Browser-Delay,Total-Frames-Processed,Total-Frames-Received
0.10123348236083984,0.05262327194213867,0.04861021041870117,0.08029413223266602,4206,4206
0.0926063060760498,0.04581475257873535,0.04679155349731445,0.07147598266601562,4207,4207
0.09488368034362793,0.04473543167114258,0.05014824867248535,0.07402777671813965,4208,4208
0.10299038887023926,0.051558732986450195,0.05143165588378906,0.07631182670593262,4209,4209
0.0956268310546875,0.04708290100097656,0.04854393005371094,0.06986427307128906,4210,4210
0.09946966171264648,0.04946589469909668,0.050003767013549805,0.07845377922058105,4211,4211
0.08938050270080566,0.04317140579223633,0.046209096908569336,0.06838274002075195,4212,4212
0.09127163887023926,0.04463386535644531,0.046637773513793945,0.0701904296875,4213,4213
0.09518933296203613,0.04804706573486328,0.04714226722717285,0.07433915138244629,4214,4214
0.08960437774658203,0.04443502426147461,0.04516935348510742,0.06879258155822754,4215,4215
0.09174990653991699,0.044855594635009766,0.04689431190490723,0.07076120376586914,4216,4216
0.10393643379211426,0.051168203353881836,0.05276823043823242,0.08302450180053711,4217,4217
0.09345841407775879,0.04560399055480957,0.04785442352294922,0.07293295860290527,4218,4218
0.0920870304107666,0.04464840888977051,0.047438621520996094,0.07108712196350098,4219,4219
0.09113550186157227,0.04392385482788086,0.047211647033691406,0.06983041763305664,4220,4220
0.09679031372070312,0.045557260513305664,0.05123305320739746,0.0756528377532959,4221,4221
0.09044861793518066,0.043621063232421875,0.04682755470275879,0.06937670707702637,4222,4222
0.0915379524230957,0.04294109344482422,0.048596858978271484,0.0704960823059082,4223,4223
0.09385824203491211,0.04893183708190918,0.04492640495300293,0.07262873649597168,4224,4224
0.09404850006103516,0.04581856727600098,0.04822993278503418,0.07328319549560547,4225,4225
0.09274983406066895,0.043921709060668945,0.048828125,0.07190132141113281,4226,4226
0.09118270874023438,0.04619145393371582,0.044991254806518555,0.07011079788208008,4227,4227
0.08983612060546875,0.0437016487121582,0.04613447189331055,0.06891298294067383,4228,4228
0.09563803672790527,0.046044111251831055,0.04959392547607422,0.07457566261291504,4229,4229
0.09975695610046387,0.0470273494720459,0.05272960662841797,0.07876181602478027,4230,4230
0.08720016479492188,0.04375791549682617,0.0434422492980957,0.06628584861755371,4231,4231
0.09306573867797852,0.04540085792541504,0.04766488075256348,0.07230496406555176,4232,4232
0.08982992172241211,0.04417538642883301,0.0456545352935791,0.06901168823242188,4233,4233
0.09590840339660645,0.05001044273376465,0.0458979606628418,0.07501792907714844,4234,4234
0.08879661560058594,0.04337596893310547,0.04542064666748047,0.0679008960723877,4235,4235
0.09293866157531738,0.04724884033203125,0.04568982124328613,0.07199907302856445,4236,4236
0.09297680854797363,0.044036149978637695,0.04894065856933594,0.07029914855957031,4237,4237
0.08971214294433594,0.04315376281738281,0.046558380126953125,0.06825065612792969,4238,4238
0.08896756172180176,0.04382824897766113,0.045139312744140625,0.06815242767333984,4239,4239
0.09440827369689941,0.04921245574951172,0.045195817947387695,0.0735158920288086,4240,4240
0.0894770622253418,0.043627262115478516,0.04584980010986328,0.06861734390258789,4241,4241
0.09375739097595215,0.04364180564880371,0.05011558532714844,0.07198786735534668,4242,4242
0.09924125671386719,0.04541468620300293,0.05382657051086426,0.0773019790649414,4243,4243
0.09608149528503418,0.044678688049316406,0.05140280723571777,0.07446503639221191,4244,4244
0.10263442993164062,0.04510021209716797,0.057534217834472656,0.08109593391418457,4245,4245
0.09705352783203125,0.04422497749328613,0.05282855033874512,0.07388472557067871,4246,4246
0.10364747047424316,0.04419708251953125,0.059450387954711914,0.08172845840454102,4247,4247
0.09248208999633789,0.04276704788208008,0.04971504211425781,0.07114958763122559,4248,4248
0.10249495506286621,0.04859352111816406,0.05390143394470215,0.07702994346618652,4249,4249
0.09607648849487305,0.04347634315490723,0.05260014533996582,0.07369613647460938,4250,4250
0.10030889511108398,0.046054840087890625,0.05425405502319336,0.07693648338317871,4251,4251
0.09743261337280273,0.046279191970825195,0.05115342140197754,0.0765690803527832,4252,4252
0.0926513671875,0.04735374450683594,0.04529762268066406,0.07133054733276367,4253,4253
0.09511518478393555,0.043890953063964844,0.0512242317199707,0.07277345657348633,4254,4254
0.09274029731750488,0.04307699203491211,0.04966330528259277,0.0715949535369873,4255,4255
0.08983349800109863,0.04453539848327637,0.045298099517822266,0.06894707679748535,4256,4256
0.09373235702514648,0.049550771713256836,0.04418158531188965,0.07269430160522461,4257,4257
0.09433269500732422,0.04707694053649902,0.047255754470825195,0.07350420951843262,4258,4258
0.08947205543518066,0.04360318183898926,0.045868873596191406,0.06844091415405273,4259,4259
0.09174489974975586,0.0450434684753418,0.04670143127441406,0.06989336013793945,4260,4260
0.09048581123352051,0.04482722282409668,0.04565858840942383,0.06852555274963379,4261,4261
0.09132242202758789,0.046090126037597656,0.045232295989990234,0.06998443603515625,4262,4262
0.09470415115356445,0.04827165603637695,0.0464324951171875,0.07304191589355469,4263,4263
0.09754610061645508,0.044710636138916016,0.05283546447753906,0.07671952247619629,4264,4264
0.09281706809997559,0.04527115821838379,0.0475459098815918,0.07178640365600586,4265,4265
0.10469532012939453,0.04385709762573242,0.06083822250366211,0.08306288719177246,4266,4266
0.0899665355682373,0.043229103088378906,0.0467374324798584,0.06905841827392578,4267,4267
0.09215879440307617,0.04417848587036133,0.047980308532714844,0.0711817741394043,4268,4268
0.08897280693054199,0.04454493522644043,0.04442787170410156,0.06787323951721191,4269,4269
0.0889735221862793,0.04366254806518555,0.04531097412109375,0.06784415245056152,4270,4270
